392	Scatman John	Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	1995
393	Tears For Fears	Everybody Wants to Rule the World	1985
394	The Byrds	Mr Tambourine Man	1965
395	Lady GaGa	Born This Way	2011
396	Dick Haymes	You'll Never Know	1943
397	U2	Desire	1988
398	All Saints	Never Ever	1998
399	Three Dog Night	Joy to the World	1971
400	The Beatles	Can't Buy Me Love	1964
401	Jennifer Lopez & Pitbull	On The Floor	2011
402	Sixpence None The Richer	Kiss Me	1999
403	10cc	I'm Not in Love	1975
404	The B52s	Love Shack	1989
405	Right Said Fred	I'm Too Sexy	1991
406	Kool & The Gang	Celebration	1981
407	Norman Greenbaum	Spirit in the Sky	1970
408	Bachman-Turner Overdrive	You Ain't Seen Nothin' Yet	1974
409	Trini Lopez	If I Had a Hammer	1963
410	Timbaland & Keri Hilson	The Way I Are	2007
411	Buddy Holly	That'll Be the Day	1957
412	Prince	Batdance	1989
413	Rihanna	Only girl (in the world)	2010
414	Johnny Horton	Battle of New Orleans	1959
415	Red Hot Chili Peppers	Under the Bridge	1992
416	Jerry Lee Lewis	Great Balls of Fire	1957
417	Paul Anka	Diana	1957
418	Nat King Cole	Unforgettable	1951
419	The Tornados	Telstar	1962
420	Elvis Presley	Return to Sender	1962
421	The Beatles	Ticket to Ride	1965
422	Jason Mraz	I am Yours	2008
423	Billy Ocean	Get Outta My Dreams Get Into My Car	1988
424	Vanessa Carlton	A Thousand Miles	2002
425	Marvin Gaye	I Heard it Through the Grapevine	1968
426	Johnnie Ray	Cry	1951
427	Gordon Jenkins & The Weavers	Goodnight, Irene	1950
428	The Black Eyed Peas	Meet Me Half Way	2009
429	Madonna	Who's That Girl?	1987
430	Elvis Presley	In the Ghetto	1969
431	The Rolling Stones	Brown Sugar	1971
432	The Four Seasons	December 1963 (Oh What a Night)	1976
433	Rod Stewart	Tonight's the Night (Gonna Be Alright)	1976
434	Gotye & Kimbra	Somebody That I Used to Know	2012
435	Katy Perry & Snoop Dogg	California Gurls	2010
436	The Eurythmics	Sweet Dreams (Are Made of This)	1983
437	Joan Osborne	One of Us	1996
438	The Box Tops	The Letter	1967
439	The Manhattans	Kiss & Say Goodbye	1976
440	Amii Stewart	Knock On Wood	1979
441	C&C Music Factory	Gonna Make You Sweat (Everybody Dance Now)	1991
442	Olivia Newton-John & Electric Light Orchestra	Xanadu	1980
443	Kid Rock	All summer long	2008
444	Lobo	I'd Love You to Want Me	1973
445	The Scissor Sisters	I Don't Feel Like Dancin'	2006
446	Captain & Tennille	Love Will Keep Us Together	1975
447	Hot Butter	Popcorn	1972
448	Akon	Smack That	2006
449	Kaoma	Lambada	1989
450	Led Zeppelin	Whole Lotta Love	1970
451	Exile	Kiss You All Over	1978
452	Daniel Boone	Beautiful Sunday	1972
453	Adele	Someone Like You	2011
454	Elvis Presley	(You're The) Devil in Disguise	1963
455	F R David	Words	1982
456	The Sweet	The Ballroom Blitz	1973
457	Elvis Presley	(Now & then There's) A Fool Such As I	1959
458	Irene Cara	Fame	1980
459	Eminem	Just Lose It	2004
460	Al Jolson	Swanee	1920
461	Al Martino	Here in My Heart	1952
462	The Kinks	Lola	1970
463	Jennifer Lopez	Love Don't Cost a Thing	2001
464	Bobby Goldsboro	Honey	1968
465	Taio Cruz	Dynamite	2010
466	John Fred & The Playboy Band	Judy in Disguise (With Glasses)	1968
467	Isaac Hayes	Theme From 'Shaft'	1971
468	Pat Boone	Love Letters in the Sand	1957
469	Creedence Clearwater Revival	Proud Mary	1969
470	Abba	Chiquitita	1979
471	Tom Jones	She's a Lady	1971
472	Coldplay	Viva La Vida	2008
473	Crazy Frog	Axel F	2005
474	Artie Shaw	Begin the Beguine	1938
475	Elton John	Something About the Way You look Tonight	1997
476	Mike & The Mechanics	The Living Years	1989
477	Cliff Richard	We Don't Talk Anymore	1979
478	The Doors	Light My Fire	1967
479	Billy Joel	The River of Dreams	1993
480	U2	Hold Me, Thrill Me, Kiss Me, Kill Me	1995
481	Dire Straits	Money For Nothing	1985
482	Enigma	Return to Innocence	1994
483	Ini Kamoze	Here Comes the Hotstepper	1995
484	Elvis Presley	Can't Help Falling in Love	1962
485	Chris de Burgh	The Lady in Red	1986
486	The Beatles	Lady Madonna	1968
487	The Scorpions	Wind of Change	1991
488	Uncle Kracker	Follow Me	2001
489	Ray Parker Jr	Ghostbusters	1984
490	Kenny Loggins	Footloose	1984
491	The Platters	Only You (And You Alone)	1955
492	Elton John	Can You Feel the Love Tonight	1994
493	Al Dexter & his Troopers	Pistol Packin' Mama	1943
494	Michael Jackson	Thriller	1984
495	Babylon Zoo	Spaceman	1996
496	Perez Prado	Cherry Pink & Apple Blossom White	1955
497	Guns n' Roses	Sweet Child O' Mine	1988
498	Barbra Streisand	The Way We Were	1974
499	Joe Dolce	Shaddup You Face	1981
500	Nancy Sinatra & Frank Sinatra	Somethin' Stupid	1967
501	Wings	Silly Love Songs	1976
502	Perry Como	Don't Let the Stars Get in Your Eyes	1953
503	Rihanna	SOS (Rescue Me)	2006
504	Shania Twain	You're Still the One	1998
505	George Michael	Jesus to a Child	1996
506	The Rolling Stones	Miss You	1978
507	The Drifters	Save the Last Dance For Me	1960
508	Chicago	Hard to Say I'm Sorry	1982
509	Frankie Valli	Grease	1978
510	Kitty Kallen	Little Things Mean a Lot	1954
511	Joe Cocker & Jennifer Warnes	Up Where We Belong	1982
512	D12	My Band	2004
513	Plain White T's	Hey There Delilah	2007
514	Pee Wee Hunt	12th Street Rag	1948
515	Creedence Clearwater Revival	Up Around the Bend	1970
516	Mariah Carey	Dreamlover	1993
517	Bing Crosby	Pennies From Heaven	1936
518	Eminem	The Real Slim Shady	2000
519	Milli Vanilli	Girl, I'm Gonna Miss You	1989
520	Musical Youth	Pass the Dutchie	1982
521	Madonna	American Pie	2000
522	Beyonce	Single Ladies (Put A Ring On It)	2009
523	Europe	The Final Countdown	1986
524	George Michael & Elton John	Don't Let the Sun Go Down On Me	1992
525	Neil Young	Heart of Gold	1972
526	Rihanna	Disturbia	2008
527	Elton John	Nikita	1985
528	Baccara	Yes Sir, I Can Boogie	1977
529	Christina Aguilera	Ain't No Other Man	2006
530	Madonna	La Isla Bonita	1987
531	Dean Martin	Memories Are Made of This	1956
532	The Commodores	Three Times a Lady	1978
533	Madonna	This Used to Be My Playground	1992
534	Alannah Myles	Black Velvet	1990
535	Christie	Yellow River	1970
536	Jennifer Paige	Crush	1998
537	Glenn Miller	Chattanooga Choo Choo	1941
538	Nat King Cole	Nature Boy	1948
539	Owl City	Fireflies	2010
540	Madonna	Crazy For You	1985
541	U2	Discotheque	1997
542	Vera Lynn	Auf Wiederseh'n Sweetheart	1952
543	Andy Gibb	Shadow Dancing	1978
544	Gwen Stefani & Akon	The Sweet Escape	2007
545	Carpenters	(They Long to Be) Close to You	1970
546	Snap	The Power	1990
547	O-Zone	Dragostea Din Tei	2004
548	Kiss	I Was Made For Lovin' You	1979
549	The Moody Blues	Nights in White Satin	1972
550	Glenn Miller	Moonlight Serenade	1939
551	Tony Orlando & Dawn	Knock Three Times	1971
552	Patti LaBelle	Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)	1975
553	Paul Hardcastle	19	1985
554	The Beatles	Something	1969
555	Abba	The Winner Takes it All	1980
556	Amy Winehouse	Rehab	2007
557	R Kelly	Ignition	2003
558	Debbie Boone	You Light Up My Life	1977
559	Pitbull, Ne-Yo, Afrojack & Nayer	Give Me Everything	2011
560	Elvis Presley	Good Luck Charm	1962
561	Rihanna	Take a Bow	2008
562	The Supremes	Where Did Our Love Go	1964
563	Lisa Stansfield	All Around the World	1990
564	Roberta Flack	The First Time Ever I Saw Your Face	1972
565	Murray Head	One Night in Bangkok	1985
566	Fred Astaire	The Way You Look Tonight	1936
567	Rod Stewart	Baby Jane	1983
568	Mariah Carey	Vision of Love	1990
569	Les Paul & Mary Ford	How High the Moon	1951
570	Beyonce	If I Were a Boy	2008
571	Huey Lewis & The News	The Power of Love	1985
572	The Platters	The Great Pretender	1956
573	Steve Miller Band	The Joker	1974
574	Bon Jovi	It's My Life	2000
575	Kate Bush	Wuthering Heights	1978
576	50 Cent & Olivia	Candy Shop	2005
577	The Sweet	Fox On the Run	1975
578	Beyonce	Halo	2009
579	Spice Girls	2 Become 1	1997
580	Spice Girls	Say You'll Be There	1996
581	Paul & Paula	Hey Paula	1963
582	Prince	Kiss	1986
583	Percy Faith	The Song From Moulin Rouge (Where Is Your Heart)	1953
584	Billy Joel	Uptown Girl	1983
585	New Vaudeville Band	Winchester Cathedral	1966
586	Eric Clapton	Change the World	1996
587	LeAnn Rimes	How Do I Live?	1998
588	Will Smith	Wild Wild West	1999
589	Frankie Avalon	Venus	1959
590	U2	One	1992
591	Duffy	Mercy	2008
592	The Ronettes	Be My Baby	1963
593	U2	Vertigo	2004
594	Elton John	Goodbye Yellow Brick Road	1973
595	The Temptations	My Girl	1965
596	Bellamy Brothers	Let Your Love Flow	1976
597	Tiffany	I Think We're Alone Now	1988
598	Santa Esmerelda	Don't Let Me Be Misunderstood	1977
599	Vanessa Williams	Save the Best For Last	1992
600	Queen	We Are the Champions	1977
601	Tommy Roe	Dizzy	1969
602	The Four Tops	Reach Out (I'll Be There)	1966
603	Lauryn Hill	Doo Wop (That Thing)	1998
604	Shakira	Underneath Your Clothes	2002
605	The Beatles	Strawberry Fields Forever	1967
606	Bruce Springsteen	Dancing in the Dark	1984
607	Tom Jones	Delilah	1968
608	Carole King	It's Too Late	1971
609	Fred Astaire	Cheek to Cheek	1935
610	John Lennon	Instant Karma	1970
611	The Kalin Twins	When	1958
612	Buggles	Video Killed the Radio Star	1979
613	Destiny's Child	Survivor	2001
614	Jay-Z & Alicia Keys	Empire State Of Mind	2009
615	Madonna	Express Yourself	1989
616	The Backstreet Boys	Quit Playing Games (With My Heart)	1997
617	Paula Abdul	Rush Rush	1991
618	Stevie Wonder	Superstition	1973
619	Jennifer Lopez	Get Right	2005
620	The Black Eyed Peas	The Time (Dirty Bit)	2010
621	Billy Ocean	When the Going Gets Tough, the Tough Get Going	1986
622	Little Eva	The Loco-Motion	1962
623	The Everly Brothers	All I Have to Do is Dream	1958
624	Madonna	Justify My Love	1990
625	Louis Armstrong	Hello Dolly	1964
626	Red Hot Chili Peppers	Dani California	2006
627	Duran Duran	A View to a Kill	1985
628	Pussycat	Mississippi	1976
629	Soul Asylum	Runaway Train	1993
630	Champs	Tequila	1958
631	Tina Turner	We Don't Need Another Hero (Thunderdome)	1985
632	Barry Ryan	Eloise	1968
633	Diana King	Shy Guy	1995
634	Madonna	Live to Tell	1986
635	Big Mountain	Baby, I Love Your Way	1994
636	Bob Dylan	Like a Rolling Stone	1965
637	Pras Michel	Ghetto Supastar (That is What You Are)	1998
638	INXS	Need You Tonight	1988
